FECHA,x,y,MCARI_OSAVI,CI_green,NDRE,NDVI,MCARI_OSAVI_RE,MTCI,TCARI_OSAVI,CCCI_simpl,GNDVI,CCCI,RVI,CIred_edge,TCARI_OSAVI_RE,Altura_PTA,SPAD,N_TOTAL,NO3-NH4,M.O.,P2O5 mg/kg,P2O5 kg/ha,%Humedad,% ARENA,% ARCILLA,% LIMO,CLASE TEXTURAL
09/11/2017,673564,2835003,0.262323015,1.269701176,0.10588182,0.286535943,0.251105653,0.759978235,1.173571711,0.413775573,0.387768974,0.370732381,1.806976833,0.23702692,2.068841467,26,43.6,3.26,23.7768825,2.61697006,22.714754,85.1803275,12.52525253,66.04,21.96,12,FRANCO ARCILLOSO ARENOSO
10/05/2017,672775,2834649,0.096265661,10.04388268,0.30623423,0.748872085,0.511367357,1.226865954,1.428411923,0.687944876,0.833329716,0.409634833,7.040713596,0.887626441,4.359930821,103,48.4,2.75,32.26862625,2.080155689,45.256686,169.7125725,23.3649789,61.32,22.68,16,FRANCO ARCILLOSO ARENOSO
10/05/2017,672957,2834784,0.15914814,9.079332771,0.283027945,0.688084989,0.496201937,1.196745527,1.492505693,0.589428228,0.817997165,0.412273663,5.498388329,0.792755175,4.217677164,103,51.5,2.44,28.87192875,1.276207792,20.062762,75.2353575,21.12644198,61.32,23.04,15.64,FRANCO ARCILLOSO ARENOSO
10/05/2017,672975,2834812,0.074087734,10.14658466,0.272412347,0.770416217,0.559268866,0.9795064,1.661938634,0.544362288,0.835174482,0.354549221,7.82809679,0.751330328,4.990461226,102,54.4,2.51,37.3636725,0.940363636,30.007732,112.528995,20.75471698,63.32,23.04,13.64,FRANCO ARCILLOSO ARENOSO
10/05/2017,672989,2834846,0.022042452,11.76403507,0.297437341,0.814537134,0.52792336,1.047087317,1.382446389,0.650599818,0.854542787,0.365345446,9.838735619,0.847884836,4.644091854,108,51.6,2.61,33.966975,1.948674795,59.179644,221.923665,22.13592233,65.32,19.04,15.64,FRANCO ARENOSO
10/05/2017,673025,2834853,0.012323982,12.8465251,0.348908822,0.82563695,0.453469887,1.342342007,1.107853234,0.869109479,0.865145668,0.422710258,10.48630786,1.074379364,3.999820709,114,51.7,2.76,25.47523125,1.108064323,77.08059,289.0522125,22.7568817,65.32,20.68,14,FRANCO ARCILLOSO ARENOSO
10/05/2017,673035,2834882,0.036504962,12.35485432,0.33955655,0.816463723,0.493168351,1.306803932,1.225168376,0.829406679,0.860194371,0.416294233,9.973532448,1.033210168,4.325100985,110,58.7,2.64,25.47523125,1.207832335,87.02556,326.34585,24.12425644,67.32,18.68,14,FRANCO ARENOSO
10/05/2017,673049,2834903,0.039634697,12.65698647,0.323813938,0.810498347,0.511133257,1.215074439,1.300214438,0.76257525,0.86306144,0.400139086,9.679642696,0.960560968,4.496280289,103,49,3.02,35.66532375,0.940739556,54.538658,204.5199675,22.92993631,67.32,20.68,12,FRANCO ARCILLOSO ARENOSO
10/05/2017,673176,2834594,0.150112979,5.277504883,0.228677447,0.449137131,0.369918474,1.664167328,1.046460021,0.358696396,0.718992143,0.523344681,2.764072337,0.597176276,3.036249046,66,55.3,2.8,25.47523125,1.611408029,57.19065,214.4649375,22.94038848,63.32,23.04,13.64,FRANCO ARCILLOSO ARENOSO
10/05/2017,673180,2834623,0.146374726,8.604931488,0.270044113,0.685593591,0.462598523,1.112916496,1.438859458,0.534308523,0.81102109,0.395795949,5.449308777,0.741058357,3.95901454,82,56.9,3.07,22.07853375,2.218788,47.908678,179.6575425,23.94948335,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
10/05/2017,673200,2834645,0.036769201,11.67858219,0.310440838,0.796788802,0.566560849,1.151216452,1.498882151,0.705803001,0.85358187,0.389914452,8.893694935,0.901429141,4.919690952,92,54.9,2.69,10.1900925,1.208797443,81.721576,306.45591,25.20811655,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
